client_code,product,push_notification
23,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Темирлан, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
24,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Гульмира, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
25,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Адиль, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
26,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Маржан, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
27,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Нурсултан, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
28,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Алтынай, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
29,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Сая, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
30,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Ербол, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
31,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Дамир, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
32,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Алия, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
33,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Мерей, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
34,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Инкар, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
35,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Самат, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
36,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Назым, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
37,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Гульнар, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
38,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Серик, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
39,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Ляззат, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
40,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Асхат, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
41,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Сандугаш, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
42,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Рустем, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
43,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Нуртас, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
44,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Айнагуль, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
45,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Диана, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
46,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Арсен, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
47,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Камшат, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
48,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Ержан, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
49,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Амина, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
50,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Тимурлан, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
51,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Жанат, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
52,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Милана, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
53,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Расул, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
54,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Виктория, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
55,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Асель, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
56,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Нуркен, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
57,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Жания, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
58,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Султан, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
59,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Динара, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
60,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Ермек, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
